,0
724,1970
725,1970
726,
727,1971
728,
729,1971
730,1970
731,1971
732,
733,1972
734,1972
735,1971
736,1971
737,1972
738,1972
739,
740,1971
741,
742,1982
743,1971
744,1972
745,
746,
747,
748,1971
749,
750,1972
751,1972
752,
753,1972
754,1972
755,1972
756,
757,1972
758,1971
759,1971
760,1972
761,1972
762,1972
763,
764,1972
765,1972
766,1972
767,
768,1972
769,1972
770,1972
771,1972
772,1972
773,1972
774,1972
775,1971
776,1972
777,1971
778,1971
779,1972
780,
781,1972
782,
783,1971
784,1972
785,1972
786,1972
787,1972
788,1972
789,
790,1972
791,1971
792,1973
793,1973
794,1973
795,1973
796,1972
797,1972
798,1972
799,1972
800,
801,1973
802,1972
803,1973
804,1972
805,1973
806,
807,1973
808,1972
809,1973
810,
811,1972
812,1972
813,1973
814,1972
815,1973
816,1973
817,1973
818,1973
819,1973
820,1973
821,1972
822,1972
823,1972
824,1972
825,1973
826,1972
827,1972
828,1973
829,
830,1973
831,1973
832,1972
833,1973
834,1973
835,1972
836,1973
837,1972
838,1973
839,1972
840,1972
841,1973
842,1972
843,1973
844,1972
845,1973
846,1973
847,1972
848,1973
849,1973
850,1972
851,1973
852,1973
853,1972
854,
855,1972
856,1973
857,
858,1973
859,1973
860,
861,1973
862,
863,1974
864,
865,1974
866,1973
867,1973
868,1973
869,1973
870,1973
871,1973
872,1974
873,1973
874,
875,1972
876,1974
877,1974
878,1973
879,1974
880,1974
881,1973
882,
883,1974
884,1973
885,1973
886,1974
887,1974
888,1974
889,1973
890,1973
891,1973
892,1974
893,1973
894,1973
895,1975
896,1974
897,1974
898,
899,1974
900,1974
901,1974
902,1974
903,1986
904,1974
905,1974
906,1974
907,1973
908,1973
909,1973
910,1973
911,1973
912,1974
913,
914,
915,1973
916,1973
917,1974
918,
919,1974
920,1973
921,1972
922,1973
923,1973
924,1973
925,1973
926,1974
927,1974
928,
929,1975
930,1975
931,1974
932,1974
933,1975
934,
935,1974
936,1975
937,
938,1974
939,1974
940,
941,
942,1974
943,
944,1974
945,1974
946,1974
947,1974
948,1974
949,1975
950,1974
951,1974
952,1975
953,1973
954,1974
955,
956,1975
957,1974
958,1974
959,1974
960,1975
961,1974
962,1974
963,1974
964,1975
965,1973
966,
967,1975
968,
969,1975
970,1975
971,
972,
973,1975
974,
975,1973
976,1974
977,1974
978,1974
979,
980,1974
981,
982,1975
983,
984,1974
985,1975
986,1978
987,
988,
989,1976
990,1976
991,1976
992,1975
993,1975
994,1975
995,1975
996,1976
997,1976
998,1975
999,1976
1000,1975
1001,1974
1002,1975
1003,1975
1004,1975
1005,
1006,1976
1007,
1008,1975
1009,1975
1010,1976
1011,1975
1012,1976
1013,
1014,
1015,1975
1016,1973
1017,1975
1018,1975
1019,1975
1020,1976
1021,1975
1022,
1023,1975
1024,
1025,1976
1026,1973
1027,1975
1028,1975
1029,
1030,
1031,1975
1032,1976
1033,1975
1034,
1035,1975
1036,1976
1037,1973
1038,1976
1039,1976
1040,
1041,1975
1042,1975
1043,
1044,1976
1045,1975
1046,1976
1047,1975
1048,1975
1049,1976
1050,1976
1051,1975
1052,
1053,1977
1054,
1055,1977
1056,1977
1057,
1058,1977
1059,1977
1060,1976
1061,1977
1062,
1063,
1064,1976
1065,1976
1066,
1067,1976
1068,1977
1069,1976
1070,1977
1071,1976
1072,1976
1073,
1074,
1075,1977
1076,1976
1077,1976
1078,1977
1079,1977
1080,1977
1081,1977
1082,1976
1083,1976
1084,
1085,1977
1086,1976
1087,1977
1088,1977
1089,1976
1090,1977
1091,1976
1092,1977
1093,1976
1094,1977
1095,1976
1096,1977
1097,1977
1098,1977
1099,1976
1100,1976
1101,1977
1102,1976
1103,1977
1104,1976
1105,1976
1106,1976
1107,1977
1108,1976
1109,1976
1110,1975
1111,1976
1112,
1113,1976
1114,1977
1115,1977
1116,
1117,1977
1118,
1119,1978
1120,
1121,1977
1122,1978
1123,
1124,
1125,1977
1126,
1127,1977
1128,
1129,1977
1130,1977
1131,1977
1132,1978
1133,1978
1134,
1135,1977
1136,1977
1137,1977
1138,1977
1139,
1140,1978
1141,1977
1142,1977
1143,1977
1144,1977
1145,1978
1146,
1147,1978
1148,1977
1149,1977
1150,1978
1151,1978
1152,
1153,
1154,1977
1155,1977
1156,
1157,1977
1158,1977
1159,1977
1160,1978
1161,
1162,
1163,1978
1164,1977
1165,
1166,1977
1167,1977
1168,1983
1169,1978
1170,1978
1171,1978
1172,1977
1173,1977
1174,1977
1175,
1176,1978
1177,1978
1178,
1179,1978
1180,
1181,1994
1182,1978
1183,1977
1184,1977
1185,1977
1186,1978
1187,1977
1188,
1189,1978
1190,
1191,1978
1192,1979
1193,1978
1194,1978
1195,1978
1196,1979
1197,1978
1198,
1199,1978
1200,
1201,
1202,1978
1203,
1204,1978
1205,
1206,1978
1207,1979
1208,1979
1209,1979
1210,1977
1211,1979
1212,1979
1213,1979
1214,1978
1215,
1216,1978
1217,1978
1218,1978
1219,1979
1220,1979
1221,1978
1222,1979
1223,1979
1224,
1225,
1226,1979
1227,1979
1228,1978
1229,1978
1230,1978
1231,
1232,
1233,1978
1234,
1235,1978
1236,
1237,1978
1238,1979
1239,1978
1240,1979
1241,1978
1242,1978
1243,1977
1244,1978
1245,1979
1246,1978
1247,
1248,1979
1249,1978
1250,1978
1251,1978
1252,
1253,1978
1254,1981
1255,1979
1256,1979
1257,1979
1258,1978
1259,1980
1260,1980
1261,
1262,1979
1263,
1264,1979
1265,1980
1266,1979
1267,1979
1268,1980
1269,1980
1270,1979
1271,1980
1272,1978
1273,1979
1274,1980
1275,1979
1276,
1277,1980
1278,
1279,1979
1280,
1281,1980
1282,1979
1283,1979
1284,1979
1285,1979
1286,1979
1287,1980
1288,
1289,1979
1290,1979
1291,
1292,1979
1293,1980
1294,
1295,1980
1296,
1297,1980
1298,1979
1299,1979
1300,1979
1301,1979
1302,
1303,1980
1304,1980
1305,
1306,1980
1307,1980
1308,1980
1309,1980
1310,
1311,1979
1312,
1313,1979
1314,1979
1315,1980
1316,
1317,1979
1318,1979
1319,1979
1320,1980
1321,1979
1322,1979
1323,
1324,1980
1325,1980
1326,1979
1327,1979
1328,1981
1329,1981
1330,1980
1331,1980
1332,1981
1333,1980
1334,1980
1335,1980
1336,1980
1337,
1338,1980
1339,1981
1340,1980
1341,1981
1342,2015
1343,
1344,1981
1345,1980
1346,1981
1347,1980
1348,
1349,1980
1350,1981
1351,
1352,1980
1353,1981
1354,
1355,1981
1356,1980
1357,1981
1358,1981
1359,1980
1360,1978
1361,1980
1362,1980
1363,1981
1364,1980
1365,1980
1366,1980
1367,
1368,1980
1369,1980
1370,1981
1371,1981
1372,1980
1373,
1374,
1375,1981
1376,1980
1377,1981
1378,1980
1379,1980
1380,
1381,
1382,1980
1383,1980
1384,
1385,1981
1386,
1387,1981
1388,1981
1389,1980
1390,1980
1391,
1392,1981
1393,1980
1394,1980
1395,1980
1396,
1397,1981
1398,
1399,1980
1400,1981
1401,1980
1402,1980
1403,1980
1404,1981
1405,1982
1406,1981
1407,
1408,1981
1409,1981
1410,1982
1411,
1412,1981
1413,
1414,1981
1415,1982
1416,1982
1417,1981
1418,1982
1419,1980
1420,1982
1421,1981
1422,1981
1423,
1424,1981
1425,1982
1426,1982
1427,1981
1428,1981
1429,1981
1430,
1431,1982
1432,1981
1433,1981
1434,
1435,1981
1436,
1437,
1438,1982
1439,1982
1440,1981
1441,1981
1442,1982
1443,1982
1444,1982
1445,
1446,
1447,1982
1448,
1449,1982
1450,1982
1451,1981
1452,1982
1453,1982
1454,1981
1455,1981
1456,
1457,
1458,1981
1459,1982
1460,
1461,1981
1462,1982
1463,1981
1464,
1465,1981
1466,1981
1467,1982
1468,1982
1469,1981
1470,1982
1471,1981
1472,1981
1473,
1474,1982
1475,1981
1476,
1477,1981
1478,
1479,1982
1480,1983
1481,1981
1482,
1483,1983
1484,1982
1485,
1486,1982
1487,1982
1488,1982
1489,1982
1490,1983
1491,
1492,1982
1493,
1494,
1495,1983
1496,1982
1497,1982
1498,1982
1499,
1500,1982
1501,1982
1502,
1503,1983
1504,1982
1505,1983
1506,1981
1507,1982
1508,1983
1509,1983
1510,1982
1511,1982
1512,
1513,1982
1514,1982
1515,
1516,1983
1517,1983
1518,1983
1519,1983
1520,1983
1521,1983
1522,
1523,1982
1524,
1525,1983
1526,1982
1527,1982
1528,1982
1529,1983
1530,1982
1531,1982
1532,1983
1533,1983
1534,
1535,1982
1536,1982
1537,1982
1538,1982
1539,1983
1540,1982
1541,
1542,1983
1543,1983
1544,1981
1545,1982
1546,1983
1547,1982
1548,1983
1549,1983
1550,1983
1551,1982
1552,1982
1553,1982
1554,1984
1555,
1556,1984
1557,
1558,
1559,1983
1560,1983
1561,1984
1562,1983
1563,1984
1564,
1565,1984
1566,1984
1567,1983
1568,1983
1569,1983
1570,1984
1571,
1572,1983
1573,1983
1574,1984
1575,
1576,1983
1577,1984
1578,1984
1579,1983
1580,1983
1581,1983
1582,1984
1583,1983
1584,1984
1585,
1586,1983
1587,1983
1588,1984
1589,1983
1590,
1591,1984
1592,
1593,1983
1594,
1595,1984
1596,
1597,1984
1598,1983
1599,
1600,
1601,
1602,1984
1603,1984
1604,1983
1605,1984
1606,1983
1607,1984
1608,1983
1609,1983
1610,1983
1611,1983
1612,
1613,1982
1614,1983
1615,1982
1616,1983
1617,
1618,
1619,1983
1620,1983
1621,
1622,1983
1623,1984
1624,1983
1625,1983
1626,1984
1627,
1628,1983
1629,1982
1630,1984
1631,1983
1632,1984
1633,1984
1634,1984
1635,1984
1636,
1637,1985
1638,1985
1639,1985
1640,1984
1641,1985
1642,1984
1643,1985
1644,1985
1645,1985
1646,1984
1647,1985
1648,
1649,1984
1650,1985
1651,1985
1652,1985
1653,1984
1654,1984
1655,1985
1656,1985
1657,1985
1658,
1659,
1660,1983
1661,1984
1662,1984
1663,1985
1664,
1665,1985
1666,
1667,1984
1668,1985
1669,1984
1670,1984
1671,
1672,1984
1673,1984
1674,1984
1675,1984
1676,1985
1677,1985
1678,
1679,
1680,
1681,1985
1682,
1683,1984
1684,1984
1685,1985
1686,1984
1687,
1688,1984
1689,1984
1690,1984
1691,1983
1692,1984
1693,1984
1694,1985
1695,
1696,1984
1697,1985
1698,1985
1699,1985
1700,1984
1701,1984
1702,
1703,
1704,1985
1705,
1706,1984
1707,1985
1708,1985
1709,1984
1710,1985
1711,1986
1712,1985
1713,1985
1714,1985
1715,1985
1716,1985
1717,1985
1718,1986
1719,1985
1720,1986
1721,
1722,1986
1723,1985
1724,1985
1725,
1726,1986
1727,
1728,
1729,1985
1730,
1731,
1732,1986
1733,1986
1734,1986
1735,1985
1736,1986
1737,1985
1738,1986
1739,1986
1740,
1741,1986
1742,1986
1743,1985
1744,1986
1745,1986
1746,1986
1747,1986
1748,1985
1749,1985
1750,1985
1751,1985
1752,1986
1753,1986
1754,1985
1755,1985
1756,1985
1757,1985
1758,1986
1759,1986
1760,1985
1761,1985
1762,1986
1763,1986
1764,1986
1765,1986
1766,1985
1767,1984
1768,
1769,1986
1770,1985
1771,1985
1772,1985
1773,
1774,1985
1775,1985
1776,
1777,
1778,1986
1779,1986
1780,1986
1781,1985
1782,1985
1783,1986
1784,1986
1785,1985
1786,1986
1787,1987
1788,1987
1789,1987
1790,1986
1791,
1792,
1793,1987
1794,1986
1795,
1796,1986
1797,1986
1798,1987
1799,
1800,
1801,1981
1802,1986
1803,1987
1804,1987
1805,
1806,
1807,1986
1808,1986
1809,1986
1810,1986
1811,1986
1812,
1813,
1814,1987
1815,
1816,
1817,1987
1818,1986
1819,
1820,
1821,1987
1822,1987
1823,1987
1824,1986
1825,
1826,1986
1827,
1828,
1829,1986
1830,
1831,1986
1832,
1833,1986
1834,1986
1835,1987
1836,
1837,1987
1838,1986
1839,1987
1840,1987
1841,1987
1842,1986
1843,1986
1844,
1845,1987
1846,1987
1847,1986
1848,1987
1849,
1850,1986
1851,1986
1852,
1853,1987
1854,
1855,1987
1856,1988
1857,1987
1858,1987
1859,1987
1860,1988
1861,
1862,1987
1863,1988
1864,1988
1865,
1866,
1867,1988
1868,
1869,1988
1870,1988
1871,
1872,
1873,
1874,1988
1875,1988
1876,1987
1877,1987
1878,
1879,1988
1880,1983
1881,1988
1882,1988
1883,1988
1884,1988
1885,
1886,1987
1887,1987
1888,
1889,1988
1890,
1891,1988
1892,1987
1893,1987
1894,1988
1895,1988
1896,1987
1897,
1898,
1899,1987
1900,
1901,1987
1902,1988
1903,1988
1904,1988
1905,
1906,1988
1907,1987
1908,
1909,1988
1910,1988
1911,1987
1912,1988
1913,
1914,1988
1915,1988
1916,1987
1917,1988
1918,1988
1919,1988
1920,1987
1921,1987
1922,1982
1923,
1924,1987
1925,
1926,1988
1927,
1928,1988
1929,1989
1930,1988
1931,1988
1932,
1933,1989
1934,1989
1935,1989
1936,1988
1937,1989
1938,
1939,1989
1940,1988
1941,1988
1942,1989
1943,1989
1944,1988
1945,1988
1946,1988
1947,1988
1948,1988
1949,1989
1950,1989
1951,1988
1952,1988
1953,1988
1954,1989
1955,1988
1956,1989
1957,1989
1958,1989
1959,1988
1960,1989
1961,1988
1962,
1963,1989
1964,1989
1965,
1966,1989
1967,1989
1968,1989
1969,1989
1970,1988
1971,1989
1972,1988
1973,1988
1974,1988
1975,1989
1976,1987
1977,1988
1978,1988
1979,1989
1980,1988
1981,
1982,1989
1983,
1984,1988
1985,1988
1986,1989
1987,1989
1988,
1989,1989
1990,1989
1991,1989
1992,1990
1993,
1994,1990
1995,1990
1996,1990
1997,1990
1998,
1999,1990
2000,
2001,
2002,1990
2003,1989
2004,
2005,1988
2006,1989
2007,1990
2008,1990
2009,1989
2010,1990
2011,
2012,1989
2013,1990
2014,1990
2015,
2016,1989
2017,1990
2018,1990
2019,1989
2020,1989
2021,1989
2022,1989
2023,1989
2024,1989
2025,
2026,1990
2027,1989
2028,1989
2029,
2030,1990
2031,
2032,
2033,1989
2034,1990
2035,1989
2036,1989
2037,1990
2038,1989
2039,1990
2040,
2041,1989
2042,1989
2043,1990
2044,
2045,1989
2046,1989
2047,1989
2048,1990
2049,1989
2050,
2051,1988
2052,1989
2053,
2054,1990
2055,1990
2056,1990
2057,1989
2058,1990
2059,1989
2060,1989
2061,1989
2062,1989
2063,1990
2064,1991
2065,
2066,1991
2067,1990
2068,1990
2069,1990
2070,
2071,1989
2072,1990
2073,1990
2074,1990
2075,1989
2076,1991
2077,1990
2078,1991
2079,
2080,1991
2081,1991
2082,1991
2083,1991
2084,1991
2085,1990
2086,1991
2087,1990
2088,1990
2089,1991
2090,1990
2091,1990
2092,1991
2093,
2094,1990
2095,1991
2096,
2097,1990
2098,1991
2099,
2100,1991
2101,1990
2102,1990
2103,1991
2104,1989
2105,1989
2106,1990
2107,1990
2108,1990
2109,
2110,1990
2111,1992
2112,
2113,1990
2114,1991
2115,1990
2116,1990
2117,1991
2118,1991
2119,
2120,1990
2121,
2122,1992
2123,1992
2124,1992
2125,1991
2126,1992
2127,1991
2128,1992
2129,1991
2130,
2131,1991
2132,
2133,1992
2134,1992
2135,1988
2136,1991
2137,1991
2138,
2139,1992
2140,1991
2141,1992
2142,1991
2143,1991
2144,1992
2145,1992
2146,1991
2147,1992
2148,1992
2149,1991
2150,
2151,1991
2152,1991
2153,1973
2154,
2155,1991
2156,1991
2157,1992
2158,1991
2159,1991
2160,1991
2161,1991
2162,
2163,1992
2164,1992
2165,
2166,1992
2167,1992
2168,
2169,1991
2170,1991
2171,1991
2172,1991
2173,1991
2174,1991
2175,1991
2176,1992
2177,1992
2178,1991
2179,1992
2180,1991
2181,1991
2182,1991
2183,1992
2184,1991
2185,
2186,1991
2187,
2188,1992
2189,1992
2190,1991
2191,1992
2192,1993
2193,1993
2194,1993
2195,1992
2196,1993
2197,
2198,1992
2199,1992
2200,1992
2201,1993
2202,1993
2203,1992
2204,1993
2205,1992
2206,1993
2207,1993
2208,1991
2209,1992
2210,1992
2211,
2212,1992
2213,
2214,1993
2215,1993
2216,1993
2217,1993
2218,1993
2219,1992
2220,1993
2221,1993
2222,1992
2223,1993
2224,1992
2225,1992
2226,1993
2227,1993
2228,1992
2229,1993
2230,
2231,1993
2232,1992
2233,1993
2234,1993
2235,1992
2236,1992
2237,1997
2238,1992
2239,1992
2240,1992
2241,
2242,1992
2243,1992
2244,1992
2245,1992
2246,1993
2247,
2248,1992
2249,
2250,1993
2251,1993
2252,1992
2253,1992
2254,1993
2255,
2256,1993
2257,1994
2258,1993
2259,1993
2260,1994
2261,1993
2262,1994
2263,1994
2264,1994
2265,1993
2266,1994
2267,1994
2268,1994
2269,1994
2270,1994
2271,1994
2272,1994
2273,1994
2274,1993
2275,1993
2276,1993
2277,1993
2278,1993
2279,1993
2280,1993
2281,1994
2282,1993
2283,1993
2284,
2285,1993
2286,1994
2287,1993
2288,1994
2289,1993
2290,1993
2291,1992
2292,
2293,
2294,
2295,1993
2296,1994
2297,1993
2298,1993
2299,1994
2300,
2301,1993
2302,1993
2303,1993
2304,1994
2305,1993
2306,1993
2307,1994
2308,1993
2309,1991
2310,
2311,1993
2312,1994
2313,
2314,1993
2315,1994
2316,
2317,
2318,1994
2319,1994
2320,1994
2321,1994
2322,1993
2323,1994
2324,1993
2325,1993
2326,
2327,1994
2328,1995
2329,1994
2330,1995
2331,1994
2332,1995
2333,1995
2334,1994
2335,1994
2336,1995
2337,1994
2338,1995
2339,1994
2340,1994
2341,1994
2342,1994
2343,1994
2344,1995
2345,1995
2346,1994
2347,1995
2348,1994
2349,1994
2350,
2351,1994
2352,1995
2353,1995
2354,1995
2355,1995
2356,1995
2357,1995
2358,1995
2359,1994
2360,
2361,
2362,1995
2363,1995
2364,1995
2365,1994
2366,
2367,1995
2368,1995
2369,1995
2370,1995
2371,1994
2372,1995
2373,1995
2374,1994
2375,1995
2376,1994
2377,1994
2378,1995
2379,1995
2380,1995
2381,1996
2382,1996
2383,1995
2384,1996
2385,1996
2386,
2387,1996
2388,1995
2389,1995
2390,1996
2391,1996
2392,1995
2393,
2394,1994
2395,1995
2396,1996
2397,1995
2398,1995
2399,1996
2400,
2401,1995
2402,1996
2403,1995
2404,1995
2405,1995
2406,
2407,1996
2408,1995
2409,1994
2410,1995
2411,1994
2412,1996
2413,
2414,1995
2415,1995
2416,1995
2417,1996
2418,1996
2419,
2420,1996
2421,
2422,1996
2423,1995
2424,1996
2425,1995
2426,1996
2427,
2428,1996
2429,1996
2430,1996
2431,1995
2432,1995
2433,
2434,1996
2435,1996
2436,1996
2437,1997
2438,1996
2439,1996
2440,
2441,1997
2442,1997
2443,1997
2444,
2445,1996
